record_id,date,year,month,state,port_of_entry,chemical_name,quantity_kg,declared_purpose,importer_name,is_anomaly
PC000031,2021-06-01,2021,6,Gujarat,Kandla Port,Acetic Anhydride,531.2,Pharmaceutical,Importer_4648,False
PC000032,2021-04-01,2021,4,Gujarat,Kandla Port,Toluene,972.6,Pharmaceutical,Importer_9473,False
PC000033,2021-03-24,2021,3,Tamil Nadu,Chennai Port,Ephedrine,48.8,Industrial Solvent,Importer_5185,False
PC000034,2022-06-06,2022,6,Delhi,Delhi Air Cargo,Ephedrine,53.6,Agrochemical,Importer_9454,False
PC000035,2021-08-15,2021,8,Delhi,Delhi Air Cargo,Ephedrine,73.4,Textile/Dye,Importer_2189,False
PC000036,2024-03-19,2024,3,Delhi,Delhi Air Cargo,Pseudoephedrine,455.8,Textile/Dye,Importer_1322,True
PC000037,2022-01-21,2022,1,West Bengal,Kolkata Port,Ephedrine,33.2,Agrochemical,Importer_3645,False
PC000038,2024-11-19,2024,11,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,34.0,Agrochemical,Importer_4994,False
PC000039,2021-03-19,2021,3,Maharashtra,Nhava Sheva (JNPT),Potassium Permanganate,315.5,Textile/Dye,Importer_8139,False
PC000040,2024-11-25,2024,11,Tamil Nadu,Chennai Port,Piperonal,48.3,Pharmaceutical,Importer_6271,False
PC000041,2018-03-06,2018,3,Gujarat,Kandla Port,Potassium Permanganate,210.2,Agrochemical,Importer_5103,False
PC000042,2018-06-09,2018,6,Kerala,Cochin Port,Acetic Anhydride,469.5,Textile/Dye,Importer_4455,False
PC000043,2019-04-05,2019,4,Tamil Nadu,Chennai Port,Ephedrine,41.1,Agrochemical,Importer_3480,False
PC000044,2022-02-12,2022,2,Maharashtra,Nhava Sheva (JNPT),Toluene,880.6,Industrial Solvent,Importer_7870,False
PC000045,2021-06-11,2021,6,Tamil Nadu,Chennai Port,Toluene,825.4,Agrochemical,Importer_5111,False
PC000046,2024-06-05,2024,6,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,104.4,Pharmaceutical,Importer_9360,False
PC000047,2018-06-05,2018,6,Gujarat,Kandla Port,Pseudoephedrine,50.5,Textile/Dye,Importer_6843,False
PC000048,2022-05-22,2022,5,Gujarat,Mundra Port,Toluene,796.4,Agrochemical,Importer_9610,False
PC000049,2019-12-26,2019,12,West Bengal,Kolkata Port,Toluene,979.6,Industrial Solvent,Importer_1538,False
PC000050,2023-01-10,2023,1,West Bengal,Kolkata Port,Acetic Anhydride,348.9,Textile/Dye,Importer_4333,False
PC000051,2020-11-10,2020,11,Gujarat,Kandla Port,Ephedrine,45.5,Agrochemical,Importer_8742,False
PC000052,2023-07-27,2023,7,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,603.4,Pharmaceutical,Importer_3231,False
PC000053,2018-03-19,2018,3,Kerala,Cochin Port,Toluene,864.1,Agrochemical,Importer_7155,False
PC000054,2020-08-07,2020,8,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,63.8,Industrial Solvent,Importer_6843,False
PC000055,2019-06-08,2019,6,Delhi,Delhi Air Cargo,Acetic Anhydride,535.0,Textile/Dye,Importer_4735,False
PC000056,2022-11-25,2022,11,Tamil Nadu,Chennai Port,Acetic Anhydride,581.7,Agrochemical,Importer_8328,False
PC000057,2018-07-06,2018,7,Gujarat,Mundra Port,Piperonal,21.6,Pharmaceutical,Importer_7530,False
PC000058,2019-09-06,2019,9,Tamil Nadu,Chennai Port,Piperonal,51.0,Industrial Solvent,Importer_7499,False
PC000059,2018-02-08,2018,2,Tamil Nadu,Chennai Port,Toluene,900.9,Textile/Dye,Importer_8010,False
PC000060,2020-03-04,2020,3,West Bengal,Kolkata Port,Piperonal,35.4,Agrochemical,Importer_5299,False
PC000061,2024-07-17,2024,7,Gujarat,Mundra Port,Toluene,899.0,Textile/Dye,Importer_6966,False
PC000062,2024-10-03,2024,10,West Bengal,Kolkata Port,Potassium Permanganate,334.9,Pharmaceutical,Importer_8117,False
PC000063,2021-05-15,2021,5,Gujarat,Mundra Port,Acetic Anhydride,546.3,Industrial Solvent,Importer_8912,False
PC000064,2024-05-08,2024,5,Delhi,Delhi Air Cargo,Potassium Permanganate,313.4,Textile/Dye,Importer_2027,False
PC000065,2020-11-24,2020,11,Kerala,Cochin Port,Potassium Permanganate,340.4,Agrochemical,Importer_4728,False
PC000066,2024-05-09,2024,5,Kerala,Cochin Port,Pseudoephedrine,71.3,Agrochemical,Importer_8813,False
PC000067,2019-01-08,2019,1,Tamil Nadu,Chennai Port,Piperonal,41.3,Pharmaceutical,Importer_8200,False
PC000068,2018-01-23,2018,1,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,88.3,Industrial Solvent,Importer_7048,False
PC000069,2024-12-01,2024,12,Delhi,Delhi Air Cargo,Potassium Permanganate,235.8,Agrochemical,Importer_9998,False
PC000070,2024-03-14,2024,3,Gujarat,Kandla Port,Pseudoephedrine,42.2,Industrial Solvent,Importer_2297,False
PC000071,2020-04-04,2020,4,West Bengal,Kolkata Port,Potassium Permanganate,306.4,Pharmaceutical,Importer_1217,False
PC000072,2019-12-25,2019,12,Gujarat,Mundra Port,Toluene,832.5,Agrochemical,Importer_9349,False
PC000073,2021-09-16,2021,9,Gujarat,Mundra Port,Pseudoephedrine,62.1,Pharmaceutical,Importer_1916,False
PC000074,2018-11-26,2018,11,Gujarat,Kandla Port,Potassium Permanganate,331.9,Industrial Solvent,Importer_8737,False
PC000075,2018-06-21,2018,6,Kerala,Cochin Port,Toluene,811.0,Textile/Dye,Importer_7087,False
PC000076,2024-09-05,2024,9,Kerala,Cochin Port,Piperonal,43.5,Agrochemical,Importer_1871,False
PC000077,2018-07-24,2018,7,West Bengal,Kolkata Port,Acetic Anhydride,401.3,Textile/Dye,Importer_9675,False
PC000078,2024-12-16,2024,12,Delhi,Delhi Air Cargo,Ephedrine,67.9,Industrial Solvent,Importer_8438,False
PC000079,2018-11-27,2018,11,Gujarat,Kandla Port,Acetic Anhydride,328.4,Textile/Dye,Importer_2159,False
PC000080,2020-07-13,2020,7,Gujarat,Kandla Port,Acetic Anhydride,562.5,Agrochemical,Importer_5092,False
PC000081,2023-04-19,2023,4,West Bengal,Kolkata Port,Pseudoephedrine,80.5,Pharmaceutical,Importer_3665,False
PC000082,2024-09-06,2024,9,Kerala,Cochin Port,Piperonal,39.9,Agrochemical,Importer_4556,False
PC000083,2024-09-03,2024,9,Tamil Nadu,Chennai Port,Potassium Permanganate,383.4,Agrochemical,Importer_5498,False
PC000084,2024-06-02,2024,6,Kerala,Cochin Port,Piperonal,31.8,Industrial Solvent,Importer_3976,False
PC000085,2018-09-21,2018,9,Gujarat,Mundra Port,Potassium Permanganate,304.3,Agrochemical,Importer_9030,False
PC000086,2021-04-11,2021,4,West Bengal,Kolkata Port,Ephedrine,58.9,Textile/Dye,Importer_1997,False
PC000087,2019-06-21,2019,6,Gujarat,Mundra Port,Potassium Permanganate,247.3,Industrial Solvent,Importer_3846,False
PC000088,2020-05-08,2020,5,Delhi,Delhi Air Cargo,Ephedrine,59.3,Agrochemical,Importer_1957,False
PC000089,2023-01-20,2023,1,Kerala,Cochin Port,Piperonal,48.7,Textile/Dye,Importer_8134,False
PC000090,2024-10-27,2024,10,Kerala,Cochin Port,Pseudoephedrine,57.5,Industrial Solvent,Importer_2117,False
PC000091,2022-05-04,2022,5,Gujarat,Mundra Port,Ephedrine,26.6,Textile/Dye,Importer_5422,False
PC000092,2024-04-05,2024,4,Maharashtra,Nhava Sheva (JNPT),Piperonal,37.9,Pharmaceutical,Importer_8937,False
PC000093,2019-09-05,2019,9,Gujarat,Mundra Port,Pseudoephedrine,54.3,Agrochemical,Importer_5972,False
PC000094,2021-10-18,2021,10,Tamil Nadu,Chennai Port,Potassium Permanganate,333.4,Pharmaceutical,Importer_3599,False
PC000095,2018-07-26,2018,7,Maharashtra,Nhava Sheva (JNPT),Potassium Permanganate,327.5,Textile/Dye,Importer_7071,False
PC000096,2019-01-04,2019,1,Tamil Nadu,Chennai Port,Potassium Permanganate,236.9,Pharmaceutical,Importer_7817,False
PC000097,2023-10-20,2023,10,Gujarat,Mundra Port,Pseudoephedrine,72.2,Pharmaceutical,Importer_8533,False
PC000098,2018-11-17,2018,11,Kerala,Cochin Port,Piperonal,43.3,Agrochemical,Importer_6501,False
PC000099,2022-08-18,2022,8,Tamil Nadu,Chennai Port,Toluene,607.7,Agrochemical,Importer_1804,False
PC000100,2023-05-26,2023,5,Kerala,Cochin Port,Pseudoephedrine,53.9,Agrochemical,Importer_2325,False
PC000101,2019-12-13,2019,12,Gujarat,Kandla Port,Toluene,957.8,Pharmaceutical,Importer_8511,False
PC000102,2019-01-01,2019,1,Kerala,Cochin Port,Acetic Anhydride,497.4,Agrochemical,Importer_3375,False
PC000103,2021-07-08,2021,7,Gujarat,Mundra Port,Toluene,1116.5,Textile/Dye,Importer_3818,False
PC000104,2018-02-10,2018,2,Delhi,Delhi Air Cargo,Toluene,1085.6,Textile/Dye,Importer_2689,False
PC000105,2022-09-23,2022,9,Gujarat,Mundra Port,Piperonal,42.5,Pharmaceutical,Importer_6080,False
PC000106,2024-01-25,2024,1,Tamil Nadu,Chennai Port,Ephedrine,47.3,Textile/Dye,Importer_6648,False
PC000107,2023-08-19,2023,8,Delhi,Delhi Air Cargo,Ephedrine,52.8,Pharmaceutical,Importer_9112,False
PC000108,2021-10-08,2021,10,Kerala,Cochin Port,Ephedrine,49.1,Pharmaceutical,Importer_6595,False
PC000109,2019-08-09,2019,8,Kerala,Cochin Port,Potassium Permanganate,245.2,Pharmaceutical,Importer_9112,False
PC000110,2021-02-19,2021,2,Tamil Nadu,Chennai Port,Acetic Anhydride,620.3,Pharmaceutical,Importer_8788,False
PC000111,2019-12-09,2019,12,West Bengal,Kolkata Port,Potassium Permanganate,257.0,Textile/Dye,Importer_3801,False
PC000112,2020-02-22,2020,2,Tamil Nadu,Chennai Port,Acetic Anhydride,488.6,Industrial Solvent,Importer_6200,False
PC000113,2019-02-05,2019,2,Maharashtra,Nhava Sheva (JNPT),Piperonal,30.8,Industrial Solvent,Importer_4518,False
PC000114,2022-01-12,2022,1,Tamil Nadu,Chennai Port,Toluene,1014.0,Textile/Dye,Importer_8230,False
PC000115,2023-05-25,2023,5,Gujarat,Kandla Port,Piperonal,46.6,Pharmaceutical,Importer_7881,False
PC000116,2024-04-11,2024,4,West Bengal,Kolkata Port,Ephedrine,45.3,Industrial Solvent,Importer_9251,False
PC000117,2018-05-26,2018,5,West Bengal,Kolkata Port,Piperonal,53.9,Agrochemical,Importer_5753,False
PC000118,2020-02-07,2020,2,Gujarat,Mundra Port,Potassium Permanganate,266.2,Industrial Solvent,Importer_8755,False
PC000119,2018-04-18,2018,4,Gujarat,Kandla Port,Acetic Anhydride,457.9,Textile/Dye,Importer_7674,False
PC000120,2023-04-06,2023,4,West Bengal,Kolkata Port,Pseudoephedrine,83.8,Agrochemical,Importer_7155,False
PC000121,2023-11-23,2023,11,Delhi,Delhi Air Cargo,Acetic Anhydride,577.4,Industrial Solvent,Importer_1461,False
PC000122,2021-12-19,2021,12,Kerala,Cochin Port,Piperonal,37.5,Textile/Dye,Importer_3909,False
PC000123,2019-02-14,2019,2,Tamil Nadu,Chennai Port,Potassium Permanganate,1117.9,Textile/Dye,Importer_4257,True
PC000124,2020-04-17,2020,4,Gujarat,Mundra Port,Acetic Anhydride,378.8,Industrial Solvent,Importer_3433,False
PC000125,2019-04-27,2019,4,West Bengal,Kolkata Port,Acetic Anhydride,407.7,Agrochemical,Importer_6403,False
PC000126,2024-05-18,2024,5,Delhi,Delhi Air Cargo,Piperonal,59.7,Pharmaceutical,Importer_5047,False
PC000127,2023-06-08,2023,6,Tamil Nadu,Chennai Port,Piperonal,39.5,Pharmaceutical,Importer_1133,False
PC000128,2021-06-15,2021,6,Tamil Nadu,Chennai Port,Piperonal,25.2,Industrial Solvent,Importer_8131,False
PC000129,2024-06-13,2024,6,Delhi,Delhi Air Cargo,Piperonal,42.6,Textile/Dye,Importer_4916,False
PC000130,2021-07-22,2021,7,Maharashtra,Nhava Sheva (JNPT),Toluene,506.9,Industrial Solvent,Importer_1457,False
PC000131,2023-09-16,2023,9,Delhi,Delhi Air Cargo,Ephedrine,72.5,Pharmaceutical,Importer_7938,False
PC000132,2022-09-21,2022,9,Delhi,Delhi Air Cargo,Toluene,498.2,Pharmaceutical,Importer_9475,False
PC000133,2023-05-25,2023,5,Delhi,Delhi Air Cargo,Potassium Permanganate,356.0,Agrochemical,Importer_3912,False
PC000134,2021-11-12,2021,11,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,531.5,Textile/Dye,Importer_5256,False
PC000135,2019-01-25,2019,1,Kerala,Cochin Port,Potassium Permanganate,396.5,Pharmaceutical,Importer_9888,False
PC000136,2019-11-25,2019,11,West Bengal,Kolkata Port,Pseudoephedrine,58.8,Agrochemical,Importer_1671,False
PC000137,2021-11-14,2021,11,Tamil Nadu,Chennai Port,Acetic Anhydride,501.8,Industrial Solvent,Importer_8168,False
PC000138,2020-05-08,2020,5,Delhi,Delhi Air Cargo,Pseudoephedrine,33.6,Industrial Solvent,Importer_1625,False
PC000139,2023-09-13,2023,9,Tamil Nadu,Chennai Port,Potassium Permanganate,180.8,Agrochemical,Importer_2851,False
PC000140,2021-12-24,2021,12,West Bengal,Kolkata Port,Acetic Anhydride,347.9,Textile/Dye,Importer_7107,False
PC000141,2020-02-11,2020,2,Tamil Nadu,Chennai Port,Pseudoephedrine,44.8,Textile/Dye,Importer_4137,False
PC000142,2024-05-02,2024,5,Gujarat,Kandla Port,Pseudoephedrine,548.8,Industrial Solvent,Importer_7818,True
PC000143,2019-12-06,2019,12,Kerala,Cochin Port,Potassium Permanganate,216.0,Textile/Dye,Importer_7996,False
PC000144,2022-03-02,2022,3,Kerala,Cochin Port,Ephedrine,55.6,Pharmaceutical,Importer_3247,False
PC000145,2018-05-14,2018,5,Maharashtra,Nhava Sheva (JNPT),Toluene,762.4,Textile/Dye,Importer_9491,False
PC000146,2018-03-04,2018,3,Maharashtra,Nhava Sheva (JNPT),Ephedrine,48.3,Industrial Solvent,Importer_8595,False
PC000147,2018-03-20,2018,3,Kerala,Cochin Port,Pseudoephedrine,446.2,Pharmaceutical,Importer_6729,True
PC000148,2023-07-26,2023,7,Tamil Nadu,Chennai Port,Potassium Permanganate,348.7,Textile/Dye,Importer_7281,False
PC000149,2018-05-22,2018,5,Tamil Nadu,Chennai Port,Piperonal,31.0,Textile/Dye,Importer_7073,False
PC000150,2024-02-03,2024,2,Gujarat,Mundra Port,Ephedrine,76.5,Textile/Dye,Importer_3642,False
PC000151,2023-03-10,2023,3,Gujarat,Kandla Port,Pseudoephedrine,39.4,Textile/Dye,Importer_6759,False
PC000152,2020-04-02,2020,4,Delhi,Delhi Air Cargo,Acetic Anhydride,414.1,Industrial Solvent,Importer_4160,False
PC000153,2021-06-04,2021,6,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,428.3,Industrial Solvent,Importer_4386,False
PC000154,2023-07-11,2023,7,Kerala,Cochin Port,Toluene,656.0,Industrial Solvent,Importer_3556,False
PC000155,2023-10-24,2023,10,West Bengal,Kolkata Port,Toluene,684.2,Industrial Solvent,Importer_4789,False
PC000156,2022-02-07,2022,2,Gujarat,Kandla Port,Piperonal,33.5,Industrial Solvent,Importer_4435,False
PC000157,2020-06-22,2020,6,Gujarat,Kandla Port,Piperonal,24.3,Textile/Dye,Importer_5128,False
PC000158,2023-04-12,2023,4,Gujarat,Kandla Port,Ephedrine,71.6,Industrial Solvent,Importer_5872,False
PC000159,2022-06-26,2022,6,Tamil Nadu,Chennai Port,Potassium Permanganate,163.8,Industrial Solvent,Importer_6181,False
PC000160,2024-07-16,2024,7,Delhi,Delhi Air Cargo,Piperonal,27.8,Pharmaceutical,Importer_5718,False
PC000161,2019-07-19,2019,7,West Bengal,Kolkata Port,Ephedrine,43.7,Agrochemical,Importer_6524,False
PC000162,2020-02-14,2020,2,Tamil Nadu,Chennai Port,Ephedrine,36.7,Pharmaceutical,Importer_2408,False
PC000163,2022-03-26,2022,3,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,47.7,Textile/Dye,Importer_8820,False
PC000164,2019-10-18,2019,10,Gujarat,Kandla Port,Ephedrine,46.2,Textile/Dye,Importer_1984,False
PC000165,2020-02-22,2020,2,Kerala,Cochin Port,Pseudoephedrine,57.4,Agrochemical,Importer_2202,False
PC000166,2018-12-24,2018,12,Tamil Nadu,Chennai Port,Potassium Permanganate,237.0,Textile/Dye,Importer_9725,False
PC000167,2024-08-03,2024,8,Gujarat,Kandla Port,Acetic Anhydride,536.3,Pharmaceutical,Importer_7304,False
PC000168,2018-01-08,2018,1,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,659.1,Agrochemical,Importer_4934,False
PC000169,2021-01-22,2021,1,Gujarat,Kandla Port,Toluene,750.3,Textile/Dye,Importer_5073,False
PC000170,2020-10-02,2020,10,Tamil Nadu,Chennai Port,Potassium Permanganate,249.3,Pharmaceutical,Importer_5173,False
PC000171,2023-05-13,2023,5,Gujarat,Kandla Port,Potassium Permanganate,362.0,Agrochemical,Importer_7183,False
PC000172,2023-11-11,2023,11,Maharashtra,Nhava Sheva (JNPT),Piperonal,35.6,Industrial Solvent,Importer_8816,False
PC000173,2019-11-24,2019,11,West Bengal,Kolkata Port,Toluene,850.4,Textile/Dye,Importer_2936,False
PC000174,2020-03-27,2020,3,Maharashtra,Nhava Sheva (JNPT),Potassium Permanganate,304.4,Industrial Solvent,Importer_7950,False
PC000175,2023-08-20,2023,8,Maharashtra,Nhava Sheva (JNPT),Acetic Anhydride,292.8,Industrial Solvent,Importer_6090,False
PC000176,2018-12-14,2018,12,Gujarat,Kandla Port,Pseudoephedrine,57.4,Agrochemical,Importer_9179,False
PC000177,2023-01-16,2023,1,Maharashtra,Nhava Sheva (JNPT),Ephedrine,53.6,Textile/Dye,Importer_9976,False
PC000178,2022-06-13,2022,6,Kerala,Cochin Port,Ephedrine,37.4,Textile/Dye,Importer_8434,False
PC000179,2019-02-12,2019,2,West Bengal,Kolkata Port,Acetic Anhydride,716.7,Agrochemical,Importer_2270,False
PC000180,2018-06-21,2018,6,Tamil Nadu,Chennai Port,Piperonal,35.8,Textile/Dye,Importer_1970,False
PC000181,2021-10-15,2021,10,Gujarat,Mundra Port,Potassium Permanganate,254.6,Agrochemical,Importer_9747,False
PC000182,2023-10-16,2023,10,West Bengal,Kolkata Port,Pseudoephedrine,43.6,Agrochemical,Importer_7605,False
PC000183,2023-03-17,2023,3,Gujarat,Mundra Port,Ephedrine,60.8,Pharmaceutical,Importer_7056,False
PC000184,2018-09-23,2018,9,Gujarat,Kandla Port,Toluene,416.1,Agrochemical,Importer_2860,False
PC000185,2022-11-25,2022,11,Gujarat,Mundra Port,Piperonal,42.5,Industrial Solvent,Importer_7868,False
PC000186,2018-05-23,2018,5,Kerala,Cochin Port,Ephedrine,164.9,Pharmaceutical,Importer_9801,True
PC000187,2021-10-24,2021,10,West Bengal,Kolkata Port,Pseudoephedrine,65.4,Agrochemical,Importer_4594,False
PC000188,2021-03-23,2021,3,Maharashtra,Nhava Sheva (JNPT),Ephedrine,58.0,Pharmaceutical,Importer_1936,False
PC000189,2019-01-09,2019,1,Gujarat,Mundra Port,Acetic Anhydride,633.3,Textile/Dye,Importer_1566,False
PC000190,2020-03-14,2020,3,Delhi,Delhi Air Cargo,Pseudoephedrine,73.7,Industrial Solvent,Importer_7520,False
PC000191,2019-11-14,2019,11,Maharashtra,Nhava Sheva (JNPT),Toluene,477.3,Textile/Dye,Importer_8481,False
PC000192,2019-12-19,2019,12,Maharashtra,Nhava Sheva (JNPT),Potassium Permanganate,1557.0,Industrial Solvent,Importer_1957,True
PC000193,2020-12-05,2020,12,Kerala,Cochin Port,Acetic Anhydride,500.7,Pharmaceutical,Importer_6335,False
PC000194,2022-03-25,2022,3,West Bengal,Kolkata Port,Pseudoephedrine,66.6,Industrial Solvent,Importer_6090,False
PC000195,2023-10-18,2023,10,Gujarat,Kandla Port,Pseudoephedrine,46.0,Pharmaceutical,Importer_1474,False
PC000196,2019-03-20,2019,3,Delhi,Delhi Air Cargo,Piperonal,42.2,Agrochemical,Importer_3934,False
PC000197,2020-07-19,2020,7,Tamil Nadu,Chennai Port,Acetic Anhydride,557.3,Agrochemical,Importer_8687,False
PC000198,2019-03-21,2019,3,Gujarat,Mundra Port,Piperonal,42.9,Industrial Solvent,Importer_9420,False
PC000199,2023-11-21,2023,11,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,50.7,Textile/Dye,Importer_4199,False
PC000200,2021-09-11,2021,9,Maharashtra,Nhava Sheva (JNPT),Toluene,1049.9,Pharmaceutical,Importer_8475,False
PC000201,2024-04-10,2024,4,Delhi,Delhi Air Cargo,Ephedrine,52.2,Pharmaceutical,Importer_7072,False
PC000202,2019-05-27,2019,5,Maharashtra,Nhava Sheva (JNPT),Toluene,626.4,Pharmaceutical,Importer_6713,False
PC000203,2023-10-03,2023,10,Gujarat,Kandla Port,Ephedrine,43.9,Industrial Solvent,Importer_1396,False
PC000204,2021-02-15,2021,2,Delhi,Delhi Air Cargo,Potassium Permanganate,394.1,Industrial Solvent,Importer_9549,False
PC000205,2024-09-05,2024,9,West Bengal,Kolkata Port,Acetic Anhydride,590.5,Pharmaceutical,Importer_7338,False
PC000206,2020-02-12,2020,2,Kerala,Cochin Port,Pseudoephedrine,65.1,Pharmaceutical,Importer_4997,False
PC000207,2022-09-21,2022,9,West Bengal,Kolkata Port,Acetic Anhydride,287.5,Pharmaceutical,Importer_1482,False
PC000208,2024-05-22,2024,5,West Bengal,Kolkata Port,Pseudoephedrine,56.3,Pharmaceutical,Importer_3313,False
PC000209,2020-02-14,2020,2,Gujarat,Kandla Port,Potassium Permanganate,394.0,Pharmaceutical,Importer_8131,False
PC000210,2024-07-11,2024,7,Tamil Nadu,Chennai Port,Potassium Permanganate,327.7,Agrochemical,Importer_5296,False
PC000211,2023-01-21,2023,1,Maharashtra,Nhava Sheva (JNPT),Piperonal,41.5,Pharmaceutical,Importer_9369,False
PC000212,2021-08-27,2021,8,Delhi,Delhi Air Cargo,Ephedrine,48.6,Industrial Solvent,Importer_2348,False
PC000213,2022-08-22,2022,8,West Bengal,Kolkata Port,Potassium Permanganate,338.1,Agrochemical,Importer_4533,False
PC000214,2019-10-27,2019,10,Kerala,Cochin Port,Ephedrine,68.7,Agrochemical,Importer_8615,False
PC000215,2023-06-12,2023,6,Gujarat,Kandla Port,Piperonal,28.7,Agrochemical,Importer_4981,False
PC000216,2019-01-05,2019,1,Kerala,Cochin Port,Piperonal,52.4,Pharmaceutical,Importer_8613,False
PC000217,2023-01-01,2023,1,Maharashtra,Nhava Sheva (JNPT),Toluene,873.9,Industrial Solvent,Importer_3044,False
PC000218,2020-12-07,2020,12,Gujarat,Mundra Port,Ephedrine,66.0,Industrial Solvent,Importer_2575,False
PC000219,2020-07-22,2020,7,Maharashtra,Nhava Sheva (JNPT),Pseudoephedrine,44.0,Textile/Dye,Importer_5749,False
PC000220,2024-05-09,2024,5,Gujarat,Kandla Port,Acetic Anhydride,436.2,Industrial Solvent,Importer_7903,False
PC000221,2020-02-05,2020,2,Tamil Nadu,Chennai Port,Potassium Permanganate,351.9,Textile/Dye,Importer_7713,False
PC000222,2022-05-15,2022,5,Maharashtra,Nhava Sheva (JNPT),Toluene,519.3,Industrial Solvent,Importer_6279,False
PC000223,2022-11-07,2022,11,Gujarat,Kandla Port,Pseudoephedrine,50.7,Industrial Solvent,Importer_2530,False
PC000224,2024-01-03,2024,1,Tamil Nadu,Chennai Port,Piperonal,22.5,Textile/Dye,Importer_3325,False
PC000225,2019-05-14,2019,5,Gujarat,Mundra Port,Toluene,785.3,Agrochemical,Importer_7226,False
