seizure_id,date,year,month,state,district,latitude,longitude,drug_type,quantity_kg,agency
SZ000081,2022-06-24,2022,6,Punjab,Ferozepur,31.5531,75.4054,Cannabis (Ganja),186.56,NCB
SZ000082,2019-07-09,2019,7,Jammu and Kashmir,Jammu,34.1677,76.7252,Pharmaceutical Opioids,13.58,Customs
SZ000083,2020-03-05,2020,3,Maharashtra,Thane,19.8484,76.1772,Ketamine,0.3,Customs
SZ000084,2021-12-27,2021,12,Manipur,Imphal East,25.3041,94.3701,Methamphetamine,4.64,NCB
SZ000085,2022-02-09,2022,2,Assam,Cachar,25.4573,93.6756,Charas/Hashish,12.64,NCB
SZ000086,2019-07-02,2019,7,Punjab,Tarn Taran,30.8501,74.6215,Charas/Hashish,3.21,NCB
SZ000087,2023-01-13,2023,1,Uttar Pradesh,Ghaziabad,26.7166,80.1527,Cannabis (Ganja),68.77,NCB
SZ000088,2018-02-14,2018,2,Bihar,Patna,24.9901,85.7589,Charas/Hashish,2.39,Coast Guard
SZ000089,2019-04-25,2019,4,Maharashtra,Pune,19.4792,76.3986,Methamphetamine,4.37,NCB
SZ000090,2023-03-05,2023,3,Manipur,Imphal West,25.3301,93.1248,Heroin,2.67,NCB
SZ000091,2022-02-13,2022,2,Punjab,Amritsar,31.7091,74.5476,Opium,37.78,BSF
SZ000092,2019-11-21,2019,11,West Bengal,Kolkata,23.6601,87.7871,Ketamine,2.05,State Police
SZ000093,2023-05-05,2023,5,Telangana,Hyderabad,17.6562,78.8824,MDMA,1.52,NCB
SZ000094,2018-09-10,2018,9,Punjab,Ferozepur,31.5103,75.6729,Heroin,1.0,Customs
SZ000095,2022-11-07,2022,11,Delhi,New Delhi,28.1767,77.1117,Heroin,4.33,DRI
SZ000096,2018-07-27,2018,7,Punjab,Amritsar,31.7857,75.9486,Opium,5.24,State Police
SZ000097,2018-04-13,2018,4,West Bengal,Kolkata,23.528,87.0891,Cannabis (Ganja),24.51,State Police
SZ000098,2024-11-07,2024,11,Gujarat,Surat,22.0939,71.4742,Opium,53.79,Customs
SZ000099,2024-10-05,2024,10,Assam,Cachar,26.6736,92.9724,Charas/Hashish,0.16,State Police
SZ000100,2024-08-11,2024,8,Rajasthan,Jodhpur,27.7585,73.7055,Methamphetamine,0.98,NCB
SZ000101,2019-11-10,2019,11,Bihar,Bhagalpur,24.9065,85.3372,Methamphetamine,9.27,Customs
SZ000102,2023-12-16,2023,12,Tamil Nadu,Coimbatore,11.7149,79.137,Heroin,8.66,NCB
SZ000103,2018-09-06,2018,9,Gujarat,Surat,22.8801,71.0214,Cannabis (Ganja),46.13,NCB
SZ000104,2022-05-12,2022,5,West Bengal,Nadia,22.9382,87.3748,Opium,52.4,State Police
SZ000105,2019-02-09,2019,2,Uttar Pradesh,Ghaziabad,26.2083,81.3556,Cannabis (Ganja),26.79,BSF
SZ000106,2019-12-06,2019,12,Maharashtra,Nashik,19.3651,74.9823,Charas/Hashish,13.99,State Police
SZ000107,2021-08-24,2021,8,Haryana,Karnal,29.4837,76.6927,Cannabis (Ganja),75.25,BSF
SZ000108,2024-05-26,2024,5,Telangana,Hyderabad,17.7971,79.1046,Heroin,0.7,NCB
SZ000109,2022-08-15,2022,8,Bihar,Muzaffarpur,25.6631,85.4448,Cannabis (Ganja),26.65,Customs
SZ000110,2020-11-11,2020,11,Maharashtra,Mumbai,19.2809,76.4165,Methamphetamine,17.51,NCB
SZ000111,2020-02-05,2020,2,Jammu and Kashmir,Baramulla,33.6998,76.1724,Heroin,3.0,Customs
SZ000112,2024-09-10,2024,9,Bihar,Bhagalpur,24.6917,84.768,Charas/Hashish,5.96,BSF
SZ000113,2021-10-08,2021,10,Jammu and Kashmir,Srinagar,33.6753,75.9908,Charas/Hashish,12.87,NCB
SZ000114,2021-11-26,2021,11,Haryana,Sirsa,28.5923,75.6951,Heroin,2.39,NCB
SZ000115,2020-12-25,2020,12,Rajasthan,Jaisalmer,27.071,73.7196,Charas/Hashish,3.49,DRI
SZ000116,2023-05-13,2023,5,Madhya Pradesh,Gwalior,22.7162,77.9402,Heroin,3.93,NCB
SZ000117,2023-08-18,2023,8,Karnataka,Mangaluru,15.2208,75.9324,Cannabis (Ganja),185.16,NCB
SZ000118,2020-11-02,2020,11,Telangana,Khammam,17.5537,79.2317,Charas/Hashish,1.06,State Police
SZ000119,2023-04-20,2023,4,Jammu and Kashmir,Baramulla,33.7365,77.3001,Cocaine,1.83,NCB
SZ000120,2022-12-23,2022,12,Gujarat,Surat,22.888,71.5894,Heroin,2.89,DRI
SZ000121,2020-08-10,2020,8,Mizoram,Lunglei,23.005,93.0389,Cannabis (Ganja),164.17,Customs
SZ000122,2024-04-12,2024,4,Mizoram,Lunglei,23.0131,92.8441,Cocaine,0.46,NCB
SZ000123,2022-09-20,2022,9,Punjab,Ferozepur,30.6665,75.785,Heroin,2.04,BSF
SZ000124,2022-03-04,2022,3,Gujarat,Ahmedabad,21.9136,71.4696,Cannabis (Ganja),44.38,BSF
SZ000125,2023-07-21,2023,7,Gujarat,Bhavnagar,22.4608,70.9028,Opium,3.8,DRI
SZ000126,2022-07-01,2022,7,Uttar Pradesh,Agra,27.0264,80.8603,Cannabis (Ganja),251.43,BSF
SZ000127,2022-04-20,2022,4,Bihar,Gaya,24.6907,85.9703,Cocaine,2.66,BSF
SZ000128,2024-01-21,2024,1,Madhya Pradesh,Indore,22.939,78.5903,Methamphetamine,4.69,NCB
SZ000129,2019-04-13,2019,4,West Bengal,Malda,23.4957,88.4369,Cannabis (Ganja),31.15,NCB
SZ000130,2020-06-22,2020,6,Punjab,Gurdaspur,31.5889,74.7251,MDMA,0.77,State Police
SZ000131,2019-03-01,2019,3,Telangana,Warangal,18.8793,78.3314,Opium,10.1,NCB
SZ000132,2020-06-24,2020,6,Karnataka,Mysuru,15.852,75.1922,Cocaine,0.33,State Police
SZ000133,2022-07-22,2022,7,Assam,Guwahati,26.5645,93.7027,Poppy Husk,9.45,NCB
SZ000134,2021-03-02,2021,3,Manipur,Churachandpur,25.1199,94.4414,Methamphetamine,3.03,Coast Guard
SZ000135,2023-04-20,2023,4,Uttar Pradesh,Kanpur,26.2803,81.5565,Charas/Hashish,17.23,NCB
SZ000136,2021-04-02,2021,4,Rajasthan,Bikaner,26.9181,74.6594,Heroin,0.05,NCB
SZ000137,2019-10-01,2019,10,Odisha,Koraput,21.0123,85.6107,Ketamine,3.62,NCB
SZ000138,2023-08-07,2023,8,Uttar Pradesh,Lucknow,27.2504,80.8935,Methamphetamine,4.94,State Police
SZ000139,2023-03-26,2023,3,Gujarat,Ahmedabad,21.7406,71.707,Heroin,0.95,State Police
SZ000140,2019-12-18,2019,12,Telangana,Hyderabad,18.7101,79.781,Charas/Hashish,5.37,BSF
SZ000141,2022-03-26,2022,3,Gujarat,Ahmedabad,22.3415,71.7157,Methamphetamine,5.22,Customs
SZ000142,2018-12-17,2018,12,Punjab,Ferozepur,31.0198,75.7527,Charas/Hashish,1.57,Coast Guard
SZ000143,2020-05-04,2020,5,Assam,Guwahati,26.4826,92.2457,Cannabis (Ganja),212.21,NCB
SZ000144,2024-10-18,2024,10,Gujarat,Surat,22.2119,71.1517,Heroin,2.49,BSF
SZ000145,2022-03-13,2022,3,Punjab,Ferozepur,30.5087,74.8712,Methamphetamine,2.56,State Police
SZ000146,2019-08-24,2019,8,Gujarat,Kutch,21.5484,70.9618,Cannabis (Ganja),57.53,NCB
SZ000147,2024-03-01,2024,3,West Bengal,North 24 Parganas,22.3745,88.0513,Heroin,0.34,NCB
SZ000148,2023-02-23,2023,2,Bihar,Bhagalpur,24.8183,86.0278,Charas/Hashish,11.1,State Police
SZ000149,2024-03-09,2024,3,Karnataka,Belagavi,15.1292,75.546,Charas/Hashish,12.88,State Police
SZ000150,2020-03-06,2020,3,Rajasthan,Jodhpur,27.1629,73.9939,Heroin,1.18,State Police
SZ000151,2024-08-22,2024,8,Manipur,Chandel,24.5817,94.0187,Cannabis (Ganja),35.84,State Police
SZ000152,2022-05-09,2022,5,Odisha,Ganjam,20.3014,84.5657,Cannabis (Ganja),190.96,Customs
SZ000153,2022-03-21,2022,3,Uttar Pradesh,Agra,27.534,81.1058,Cannabis (Ganja),72.72,Customs
SZ000154,2024-11-11,2024,11,Punjab,Ludhiana,30.3574,74.6017,Pharmaceutical Opioids,7.89,Customs
SZ000155,2023-01-05,2023,1,Assam,Guwahati,25.4088,93.3986,Charas/Hashish,10.7,NCB
SZ000156,2020-11-16,2020,11,Jammu and Kashmir,Poonch,34.2199,76.5745,Cannabis (Ganja),86.34,State Police
SZ000157,2024-12-23,2024,12,Haryana,Karnal,28.8591,75.4518,Opium,6.71,Coast Guard
SZ000158,2022-08-27,2022,8,Manipur,Imphal East,24.452,93.7782,Opium,8.19,NCB
SZ000159,2020-11-20,2020,11,Karnataka,Bengaluru Urban,15.3527,75.6519,Ketamine,0.1,Customs
SZ000160,2022-02-11,2022,2,Rajasthan,Barmer,26.9588,74.2556,Opium,0.58,NCB
SZ000161,2020-03-06,2020,3,Rajasthan,Jodhpur,27.5144,74.9791,Pharmaceutical Opioids,4.19,NCB
SZ000162,2024-11-18,2024,11,Odisha,Bhubaneswar,20.2074,85.1554,Cannabis (Ganja),51.9,DRI
SZ000163,2023-01-15,2023,1,Haryana,Faridabad,29.7574,76.63,Pharmaceutical Opioids,1.67,NCB
SZ000164,2023-12-05,2023,12,Punjab,Ferozepur,31.2579,75.1756,Charas/Hashish,10.82,State Police
SZ000165,2020-12-22,2020,12,Punjab,Amritsar,30.5009,75.9277,Cannabis (Ganja),89.94,Customs
SZ000166,2024-08-23,2024,8,Madhya Pradesh,Bhopal,23.4433,78.7331,Pharmaceutical Opioids,5.69,State Police
SZ000167,2023-12-21,2023,12,Jammu and Kashmir,Srinagar,33.5586,76.4064,Charas/Hashish,14.94,NCB
SZ000168,2023-09-13,2023,9,Punjab,Gurdaspur,30.4063,74.792,Pharmaceutical Opioids,7.0,NCB
SZ000169,2021-03-18,2021,3,Telangana,Khammam,17.3886,78.4658,Poppy Husk,86.3,NCB
SZ000170,2022-05-25,2022,5,Gujarat,Bhavnagar,21.783,71.6709,Charas/Hashish,6.94,State Police
SZ000171,2020-12-04,2020,12,Bihar,Muzaffarpur,25.8131,85.1153,Cannabis (Ganja),103.92,Customs
SZ000172,2019-08-09,2019,8,Mizoram,Aizawl,23.0556,92.5058,Cocaine,7.92,Customs
SZ000173,2019-12-23,2019,12,Gujarat,Ahmedabad,22.2731,71.0887,Charas/Hashish,4.62,DRI
SZ000174,2021-12-12,2021,12,Manipur,Imphal East,24.2247,94.1302,Heroin,11.71,NCB
SZ000175,2024-06-08,2024,6,Telangana,Hyderabad,18.3471,79.4708,Heroin,0.54,State Police
SZ000176,2024-10-18,2024,10,West Bengal,North 24 Parganas,23.265,88.5969,Cannabis (Ganja),230.22,State Police
SZ000177,2021-10-02,2021,10,Manipur,Churachandpur,25.0523,93.3198,Charas/Hashish,1.47,NCB
SZ000178,2023-03-25,2023,3,West Bengal,Malda,23.7197,87.3071,Cannabis (Ganja),7.1,NCB
SZ000179,2024-07-20,2024,7,Maharashtra,Pune,19.5223,75.6754,Methamphetamine,2.63,NCB
SZ000180,2020-05-04,2020,5,Maharashtra,Nashik,19.0619,75.6798,Opium,15.87,Customs
SZ000181,2021-10-12,2021,10,Kerala,Kochi,10.3322,76.218,Cannabis (Ganja),132.1,State Police
SZ000182,2023-03-09,2023,3,Gujarat,Bhavnagar,22.1621,70.8747,Cannabis (Ganja),29.1,State Police
SZ000183,2024-10-10,2024,10,Gujarat,Surat,23.0581,71.3716,Cocaine,2.73,BSF
SZ000184,2023-05-13,2023,5,Jammu and Kashmir,Jammu,33.7435,76.5709,Heroin,0.15,State Police
SZ000185,2023-07-27,2023,7,Assam,Dibrugarh,26.7565,93.7317,Cannabis (Ganja),190.98,BSF
SZ000186,2020-02-11,2020,2,Jammu and Kashmir,Srinagar,34.4821,76.3314,Cannabis (Ganja),137.76,State Police
SZ000187,2019-03-21,2019,3,Maharashtra,Pune,20.2846,76.0001,Pharmaceutical Opioids,3.18,NCB
SZ000188,2023-12-08,2023,12,Gujarat,Kutch,22.5443,71.6932,Pharmaceutical Opioids,4.06,NCB
SZ000189,2020-12-01,2020,12,Maharashtra,Pune,20.1913,76.145,Cannabis (Ganja),7.1,State Police
SZ000190,2019-09-01,2019,9,Madhya Pradesh,Indore,22.5028,78.6903,Opium,13.37,Coast Guard
SZ000191,2023-05-05,2023,5,Punjab,Amritsar,31.0061,75.3071,Heroin,3.7,BSF
SZ000192,2023-02-27,2023,2,West Bengal,North 24 Parganas,23.6674,87.4534,Cannabis (Ganja),89.01,Customs
SZ000193,2021-02-04,2021,2,Kerala,Kollam,10.5131,76.7437,Heroin,2.2,BSF
SZ000194,2020-08-08,2020,8,Karnataka,Bengaluru Urban,16.0301,75.5533,Cannabis (Ganja),3.45,NCB
SZ000195,2018-05-03,2018,5,Bihar,Muzaffarpur,24.6375,85.9778,Cocaine,0.89,BSF
SZ000196,2019-07-02,2019,7,Bihar,Patna,25.2903,85.7259,Ketamine,6.37,NCB
SZ000197,2023-12-27,2023,12,Karnataka,Bengaluru Urban,15.7116,76.2228,Ketamine,1.03,Customs
SZ000198,2018-12-07,2018,12,Maharashtra,Nagpur,19.8822,75.5422,Charas/Hashish,28.06,Customs
SZ000199,2023-03-08,2023,3,Jammu and Kashmir,Poonch,34.2524,77.317,Charas/Hashish,1.42,Customs
SZ000200,2024-05-10,2024,5,Jammu and Kashmir,Baramulla,34.5586,75.9301,Cocaine,1.92,State Police
SZ000201,2023-04-17,2023,4,Jammu and Kashmir,Srinagar,33.4621,77.0123,Poppy Husk,211.48,NCB
SZ000202,2022-12-23,2022,12,West Bengal,North 24 Parganas,23.3291,87.9616,Heroin,4.56,State Police
SZ000203,2024-05-21,2024,5,Punjab,Gurdaspur,30.4314,75.7395,Cannabis (Ganja),349.14,NCB
SZ000204,2023-09-24,2023,9,Bihar,Patna,25.5468,84.9031,Cannabis (Ganja),25.58,NCB
SZ000205,2023-12-03,2023,12,Punjab,Ferozepur,31.1118,75.2593,Methamphetamine,3.2,State Police
SZ000206,2024-11-22,2024,11,Gujarat,Ahmedabad,21.6856,71.9458,Cannabis (Ganja),121.27,BSF
SZ000207,2019-04-08,2019,4,Jammu and Kashmir,Poonch,33.0941,77.3637,Heroin,1.12,NCB
SZ000208,2023-09-16,2023,9,Rajasthan,Barmer,27.6315,74.4415,Methamphetamine,10.43,State Police
SZ000209,2020-06-05,2020,6,Tamil Nadu,Coimbatore,10.7471,78.1057,Heroin,5.09,NCB
SZ000210,2020-12-19,2020,12,Madhya Pradesh,Indore,23.394,78.3523,Ketamine,0.89,NCB
SZ000211,2020-11-27,2020,11,Andhra Pradesh,Guntur,16.105,79.9165,Cannabis (Ganja),73.14,State Police
SZ000212,2023-08-19,2023,8,Rajasthan,Jodhpur,26.9349,74.0745,Methamphetamine,2.15,NCB
SZ000213,2023-06-21,2023,6,Gujarat,Porbandar,22.6767,71.1461,MDMA,3.34,State Police
SZ000214,2024-12-14,2024,12,West Bengal,Kolkata,23.37,87.175,Charas/Hashish,6.95,State Police
SZ000215,2021-12-16,2021,12,Manipur,Churachandpur,24.1494,93.4571,Poppy Husk,236.61,NCB
SZ000216,2021-05-21,2021,5,Punjab,Gurdaspur,31.262,74.7869,Methamphetamine,0.44,BSF
SZ000217,2020-08-11,2020,8,Gujarat,Surat,21.8291,71.8393,Cannabis (Ganja),263.97,State Police
SZ000218,2024-05-27,2024,5,Kerala,Kozhikode,10.4507,75.8906,Cannabis (Ganja),96.41,State Police
SZ000219,2021-12-10,2021,12,Telangana,Hyderabad,17.6362,79.0657,Ketamine,3.2,Coast Guard
SZ000220,2021-03-27,2021,3,Maharashtra,Nashik,20.2275,75.3406,Poppy Husk,118.48,NCB
SZ000221,2021-07-16,2021,7,Mizoram,Aizawl,22.8937,92.6691,Cannabis (Ganja),99.82,NCB
SZ000222,2024-12-13,2024,12,Gujarat,Ahmedabad,22.3464,70.4238,Cannabis (Ganja),792.49,NCB
SZ000223,2020-08-19,2020,8,Gujarat,Porbandar,21.4948,71.7481,Heroin,5.17,NCB
SZ000224,2021-09-12,2021,9,West Bengal,Kolkata,23.6189,87.0776,Heroin,1.76,NCB
SZ000225,2019-07-25,2019,7,Jammu and Kashmir,Jammu,33.9391,77.305,Cocaine,0.91,State Police
SZ000226,2021-10-10,2021,10,Maharashtra,Pune,19.5135,76.0483,Cannabis (Ganja),18.13,NCB
SZ000227,2022-08-18,2022,8,Manipur,Churachandpur,24.0245,93.87,MDMA,2.94,State Police
SZ000228,2018-11-07,2018,11,Gujarat,Ahmedabad,21.7427,71.7091,Charas/Hashish,6.13,BSF
SZ000229,2018-12-09,2018,12,Gujarat,Ahmedabad,22.6808,71.9423,Poppy Husk,4.03,BSF
SZ000230,2022-10-03,2022,10,Telangana,Khammam,18.2936,78.8876,MDMA,0.28,State Police
SZ000231,2018-09-19,2018,9,Rajasthan,Kota,27.0357,73.9195,MDMA,0.78,DRI
SZ000232,2020-12-05,2020,12,Tamil Nadu,Madurai,11.8381,79.0346,Cannabis (Ganja),72.74,NCB
SZ000233,2024-05-22,2024,5,Bihar,Muzaffarpur,24.7126,85.6187,Opium,23.04,DRI
SZ000234,2018-09-19,2018,9,Rajasthan,Barmer,26.9805,74.626,Cannabis (Ganja),37.66,NCB
SZ000235,2021-11-09,2021,11,Delhi,New Delhi,28.9413,76.4854,Charas/Hashish,11.8,BSF
SZ000236,2019-04-05,2019,4,Manipur,Chandel,24.3186,93.3337,Methamphetamine,0.09,State Police
SZ000237,2020-07-12,2020,7,Uttar Pradesh,Varanasi,27.0921,80.3239,Opium,8.02,NCB
SZ000238,2021-04-11,2021,4,Gujarat,Kutch,22.3087,71.3396,MDMA,0.18,NCB
SZ000239,2021-05-20,2021,5,Mizoram,Lunglei,22.3956,93.1022,Methamphetamine,9.88,Customs
SZ000240,2023-07-18,2023,7,Maharashtra,Mumbai,19.6619,75.7852,Pharmaceutical Opioids,5.48,NCB
SZ000241,2018-12-03,2018,12,Delhi,New Delhi,28.6677,77.8649,MDMA,0.5,State Police
SZ000242,2018-09-26,2018,9,Rajasthan,Jodhpur,26.3651,74.0978,Cannabis (Ganja),228.6,BSF
SZ000243,2019-12-24,2019,12,Mizoram,Lunglei,22.8072,93.5088,Ketamine,3.5,State Police
SZ000244,2024-03-06,2024,3,Mizoram,Champhai,22.9869,92.4603,Cannabis (Ganja),17.0,Customs
SZ000245,2020-09-14,2020,9,Gujarat,Surat,22.2064,70.9681,Cannabis (Ganja),48.09,BSF
SZ000246,2019-01-25,2019,1,Assam,Cachar,26.1914,92.3383,Cannabis (Ganja),16.17,NCB
